"date","city","region","country","max_temp_c","min_temp_c","avg_temp_c","uv","sunrise","sunset","total_precip_mm","avg_vis_km","avg_humidity","max_wind_kph","daily_will_it_rain","daily_chance_of_rain","condition_text","condition_icon","condition_code","day_of_month","month_of_year","year","day_of_week","week_of_year","year_and_week"
2023-06-15,Zermatt,"",Switzerland,12.2,2.6,7.7,3.0,"05:38 AM","09:22 PM",12.4,9.5,71,9.7,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192",15.0,June     ,2023.0,Thursday ,24.0,"2023-24"
2023-06-16,Zermatt,"",Switzerland,12.0,2.9,7.6,3.0,"05:38 AM","09:22 PM",1.8,10.0,74,10.4,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063",16.0,June     ,2023.0,Friday   ,24.0,"2023-24"
2023-06-17,Zermatt,"",Switzerland,14.6,2.9,9.2,3.0,"05:38 AM","09:23 PM",1.9,10.0,62,9.7,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063",17.0,June     ,2023.0,Saturday ,24.0,"2023-24"
2023-06-18,Zermatt,"",Switzerland,13.8,6.6,10.4,3.0,"05:38 AM","09:23 PM",6.15,9.7,77,8.6,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243",18.0,June     ,2023.0,Sunday   ,24.0,"2023-24"
2023-06-19,Zermatt,"",Switzerland,15.0,7.4,11.3,4.0,"05:38 AM","09:23 PM",7.7,9.6,78,9.7,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243",19.0,June     ,2023.0,Monday   ,25.0,"2023-25"
2023-06-20,Zermatt,"",Switzerland,15.9,9.5,12.5,4.0,"05:38 AM","09:24 PM",3.7,9.3,78,13.0,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186",20.0,June     ,2023.0,Tuesday  ,25.0,"2023-25"
2023-06-21,Zermatt,"",Switzerland,18.6,9.0,14.0,4.0,"05:38 AM","09:24 PM",5.05,9.7,63,10.4,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243",21.0,June     ,2023.0,Wednesday,25.0,"2023-25"
2023-06-22,Zermatt,"",Switzerland,16.1,9.3,12.8,4.0,"05:39 AM","09:24 PM",6.4,9.7,70,13.0,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186",22.0,June     ,2023.0,Thursday ,25.0,"2023-25"
2023-06-23,Zermatt,"",Switzerland,14.8,7.6,10.7,3.0,"05:39 AM","09:24 PM",0.6,9.3,77,14.0,1,100,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,"1009",23.0,June     ,2023.0,Friday   ,25.0,"2023-25"
2023-06-24,Zermatt,"",Switzerland,18.1,5.6,12.2,5.0,"05:39 AM","09:24 PM",0.0,10.0,43,10.4,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000",24.0,June     ,2023.0,Saturday ,25.0,"2023-25"
2023-06-25,Zermatt,"",Switzerland,18.9,8.4,13.7,4.0,"05:39 AM","09:24 PM",0.4,10.0,62,11.9,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063",25.0,June     ,2023.0,Sunday   ,25.0,"2023-25"
2023-06-26,Zermatt,"",Switzerland,18.2,8.1,13.5,4.0,"05:40 AM","09:24 PM",1.3,10.0,64,11.2,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063",26.0,June     ,2023.0,Monday   ,26.0,"2023-26"
2023-06-27,Zermatt,"",Switzerland,17.0,9.5,12.8,4.0,"05:40 AM","09:24 PM",2.0,8.6,75,10.4,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186",27.0,June     ,2023.0,Tuesday  ,26.0,"2023-26"
2023-06-28,Zermatt,"",Switzerland,16.1,7.3,11.7,4.0,"05:41 AM","09:24 PM",5.6,9.9,73,12.2,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192",28.0,June     ,2023.0,Wednesday,26.0,"2023-26"
2023-06-29,Zermatt,"",Switzerland,14.1,8.5,11.2,3.0,"05:41 AM","09:24 PM",6.5,8.3,86,5.0,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186",29.0,June     ,2023.0,Thursday ,26.0,"2023-26"
2023-06-30,Zermatt,"",Switzerland,10.2,7.1,8.6,3.0,"05:42 AM","09:24 PM",15.15,8.0,95,9.4,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243",30.0,June     ,2023.0,Friday   ,26.0,"2023-26"
2023-07-01,Zermatt,"",Switzerland,16.1,8.2,11.9,4.0,"05:42 AM","09:24 PM",2.0,5.2,88,10.4,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063",1.0,July     ,2023.0,Saturday ,26.0,"2023-26"
2023-07-02,Zermatt,"",Switzerland,16.2,9.8,13.0,4.0,"05:43 AM","09:24 PM",2.2,8.7,84,10.4,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063",2.0,July     ,2023.0,Sunday   ,26.0,"2023-26"
2023-07-03,Zermatt,"",Switzerland,17.0,9.2,13.0,4.0,"05:43 AM","09:23 PM",4.3,9.0,76,9.4,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186",3.0,July     ,2023.0,Monday   ,27.0,"2023-27"
2023-07-04,Zermatt,"",Switzerland,15.7,8.0,11.7,4.0,"05:44 AM","09:23 PM",6.7,9.6,70,9.0,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192",4.0,July     ,2023.0,Tuesday  ,27.0,"2023-27"
2023-07-05,Zermatt,"",Switzerland,15.4,7.3,11.3,4.0,"05:45 AM","09:23 PM",7.8,9.9,73,9.4,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192",5.0,July     ,2023.0,Wednesday,27.0,"2023-27"
2023-07-06,Zermatt,"",Switzerland,13.9,6.5,10.7,3.0,"05:45 AM","09:22 PM",11.5,9.6,76,8.6,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243",6.0,July     ,2023.0,Thursday ,27.0,"2023-27"
2023-07-07,Zermatt,"",Switzerland,16.5,7.4,12.1,4.0,"05:46 AM","09:22 PM",3.5,9.7,67,8.6,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192",7.0,July     ,2023.0,Friday   ,27.0,"2023-27"
2023-07-08,Zermatt,"",Switzerland,18.3,9.1,13.9,4.0,"05:47 AM","09:21 PM",4.5,9.8,72,8.6,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186",8.0,July     ,2023.0,Saturday ,27.0,"2023-27"
2023-07-09,Zermatt,"",Switzerland,20.5,9.0,15.9,5.0,"05:48 AM","09:21 PM",0.4,9.9,60,6.1,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063",9.0,July     ,2023.0,Sunday   ,27.0,"2023-27"
2023-07-10,Zermatt,"",Switzerland,22.2,12.7,17.6,5.0,"05:48 AM","09:20 PM",0.4,10.0,59,8.3,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063",10.0,July     ,2023.0,Monday   ,28.0,"2023-28"
2023-07-11,Zermatt,"",Switzerland,22.2,12.0,17.3,5.0,"05:49 AM","09:20 PM",1.5,9.8,56,11.5,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063",11.0,July     ,2023.0,Tuesday  ,28.0,"2023-28"
2023-07-12,Zermatt,"",Switzerland,18.4,13.5,15.9,4.0,"05:50 AM","09:19 PM",9.6,9.5,71,12.6,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192",12.0,July     ,2023.0,Wednesday,28.0,"2023-28"
2023-07-13,Zermatt,"",Switzerland,16.9,11.0,13.7,4.0,"05:51 AM","09:19 PM",4.0,9.8,78,10.8,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186",13.0,July     ,2023.0,Thursday ,28.0,"2023-28"
2023-07-14,Zermatt,"",Switzerland,17.9,10.5,14.0,4.0,"05:52 AM","09:18 PM",5.2,10.0,72,10.4,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186",14.0,July     ,2023.0,Friday   ,28.0,"2023-28"
2023-07-15,Zermatt,"",Switzerland,19.3,11.7,15.2,4.0,"05:53 AM","09:17 PM",6.7,10.0,76,12.2,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192",15.0,July     ,2023.0,Saturday ,28.0,"2023-28"
2023-07-16,Zermatt,"",Switzerland,18.3,13.1,15.7,4.0,"05:54 AM","09:16 PM",5.5,9.3,71,12.2,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243",16.0,July     ,2023.0,Sunday   ,28.0,"2023-28"
2023-07-17,Zermatt,"",Switzerland,21.3,11.9,16.8,5.0,"05:55 AM","09:15 PM",1.2,10.0,56,10.8,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063",17.0,July     ,2023.0,Monday   ,29.0,"2023-29"
2023-07-18,Zermatt,"",Switzerland,22.5,11.0,17.3,5.0,"05:56 AM","09:15 PM",5.15,9.5,53,10.8,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192",18.0,July     ,2023.0,Tuesday  ,29.0,"2023-29"
2023-07-19,Zermatt,"",Switzerland,20.0,12.8,16.5,5.0,"05:57 AM","09:14 PM",4.7,10.0,66,11.2,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192",19.0,July     ,2023.0,Wednesday,29.0,"2023-29"
2023-07-20,Zermatt,"",Switzerland,19.1,9.4,14.7,4.0,"05:58 AM","09:13 PM",1.3,9.0,69,11.5,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063",20.0,July     ,2023.0,Thursday ,29.0,"2023-29"
2023-07-21,Zermatt,"",Switzerland,16.0,9.5,12.9,4.0,"05:59 AM","09:12 PM",4.4,8.9,68,10.4,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186",21.0,July     ,2023.0,Friday   ,29.0,"2023-29"
